batter,match_id,date,match_format,batting_team,bowling_team,venue,runs_scored,balls_faced,boundaries,batting_position,career_runs_avg,career_balls_faced,career_total_runs,career_strike_rate,career_matches,ema_form,recent_form_5,form_momentum,consistency,scored_50,career_50_rate,career_boundary_rate,quick_out,career_quick_out_rate,venue_avg_runs,is_t20,is_odi,opp_attack_hist_runs,opp_attack_hist_balls,opp_attack_hist_dismiss,opp_attack_hist_sr
Azhar Ali,1022375,2017-06-18,ODI,Pakistan,India,Kennington Oval,59,75,7,1,20.333333333333332,117.0,61.0,52.13675213675214,3,25.484018264840184,20.333333333333332,8.624143384290981,0.439518716056238,1,0.3333333333333333,0.05128205128205128,0,0.3333333333333333,0.0,0,1,47.0,80.0,3.0,58.75
Azhar Mahmood,829811,2015-05-16,IPL,Kolkata Knight Riders,Rajasthan Royals,Brabourne Stadium,6,8,1,8,19.1,303.0,382.0,126.07260726072607,20,37.171952397695385,32.2,27.409022340043624,0.41179217123636863,0,0.1,0.16831683168316833,1,0.4,0.0,1,0,7.0,4.0,0.0,175.0
Azmatullah Omarzai,1473511,2025-06-03,IPL,Punjab Kings,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",1,2,0,7,12.25,75.0,98.0,130.66666666666666,8,12.605854029129816,11.4,1.043427883626313,0.6179550019519998,0,0.0,0.17333333333333334,1,0.25,16.5,1,0,2.0,2.0,0.0,100.0
B Akhil,501233,2011-04-30,IPL,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,13,9,1,7,6.3,48.0,63.0,131.25,10,6.145614281440795,9.8,-2.2216135296091846,0.44401184562215373,0,0.0,0.1875,0,0.9,0.0,1,0,0.0,0.0,0.0,0.0
B Chipli,598067,2013-05-19,IPL,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,16,19,2,3,13.2,237.0,264.0,111.39240506329114,20,9.009318481820271,8.4,-3.230759625611089,0.5484643375389375,0,0.05,0.13924050632911392,0,0.4,0.0,1,0,15.0,12.0,0.0,125.0
B Evans,1512766,2026-02-26,T20,Zimbabwe,India,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,0,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
B Indrajith,1304099,2022-05-07,IPL,Kolkata Knight Riders,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",0,6,0,1,10.5,25.0,21.0,84.0,2,11.294117647058824,10.5,1.2631578947368425,0.03225806451612903,0,0.0,0.08,1,0.5,0.0,1,0,0.0,0.0,0.0,0.0
B Kumar,1473511,2025-06-03,IPL,Royal Challengers Bengaluru,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",1,2,0,9,4.557142857142857,362.0,319.0,88.12154696132598,70,3.5248243365940137,2.6,-0.5877076771425083,0.45570365535769575,0,0.0,0.09392265193370165,1,0.8,13.5,1,0,7.0,6.0,0.0,116.66666666666667
B Laughlin,1136577,2018-04-20,IPL,Rajasthan Royals,Chennai Super Kings,Maharashtra Cricket Association Stadium,0,1,0,11,1.6666666666666667,12.0,5.0,41.66666666666667,3,1.735159817351598,1.6666666666666667,0.016868740115972614,0.4446421422851422,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
B Lee,598040,2013-05-01,IPL,Kolkata Knight Riders,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,16,6,2,8,6.0,96.0,108.0,112.5,18,8.266682708179339,9.8,1.6701939379573725,0.42939435387056896,0,0.0,0.14583333333333334,0,0.7777777777777778,0.0,1,0,3.0,8.0,0.0,37.5
B Mavuta,1420227,2024-07-14,T20,Zimbabwe,India,Harare Sports Club,4,7,0,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
B Muzarabani,1420227,2024-07-14,T20,Zimbabwe,India,Harare Sports Club,1,2,0,10,0.6666666666666666,8.0,2.0,25.0,3,0.9132420091324202,0.6666666666666666,0.40484976278334206,0.3660254037844386,0,0.0,0.0,1,1.0,1.0,1,0,0.0,0.0,0.0,0.0
B Sai Sudharsan,1479572,2025-11-22,Test,India,South Africa,"Barsapara Cricket Stadium, Guwahati",29,179,3,3,56.8,1372.0,568.0,41.39941690962099,10,66.83232161185572,67.4,4.432240039737913,0.5865783175354335,0,0.4,0.053206997084548104,0,0.0,29.0,0,0,56.0,61.0,1.0,91.80327868852459
