venue,is_t20,is_odi,v_pp_runs,v_pp_wkts,v_pp_rr,v_mo_runs,v_mo_wkts,v_mo_rr,v_do_runs,v_do_wkts,v_do_rr,v_boundary_pct,v_dot_pct
"The Rose Bowl, Southampton",1,0,198.0,6.0,10.702702702702702,273.0,6.0,9.578947368421053,123.0,12.0,7.6875,0.5656565656565656,0.3492063492063492
"The Village, Malahide",1,0,174.0,1.5,9.058783783783785,264.0,3.0,9.278274268104777,193.5,9.0,11.566844919786096,0.49458288190682553,0.2950937950937951
"The Village, Malahide, Dublin",1,0,159.0,6.0,8.483641536273115,268.5,1.5,10.690540540540539,72.0,9.0,4.64516129032258,0.534074074074074,0.36682291666666667
The Wanderers Stadium,0,0,14.0,1.0,1.135135135135135,29.0,3.0,1.6111111111111112,393.0,16.0,3.0509721031057326,0.5056804759143526,0.8160154041831543
The Wanderers Stadium,0,1,60.0,2.0,4.615384615384616,96.0,0.0,5.236363636363636,422.0,12.0,5.807339449541284,0.4013840830449827,0.5128205128205128
The Wanderers Stadium,1,0,234.0,6.0,12.0,237.0,6.0,8.464285714285715,138.0,3.0,8.117647058823529,0.5320197044334976,0.32558139534883723
"The Wanderers Stadium, Johannesburg",0,0,32.0,0.0,2.5945945945945947,40.0,2.0,2.2222222222222223,332.0,18.0,3.3993174061433447,0.5544554455445545,0.7942708333333334
"The Wanderers Stadium, Johannesburg",0,1,48.0,4.0,3.6923076923076925,82.0,10.0,4.169491525423729,102.0,6.0,3.974025974025974,0.5172413793103449,0.7714285714285715
"The Wanderers Stadium, Johannesburg",1,0,202.5,4.5,10.110694183864915,342.0,1.5,12.024451410658306,181.5,6.0,11.163187855787475,0.5712427262978395,0.34613533834586463
Titwood,0,1,30.0,2.0,2.1951219512195124,72.0,6.0,3.789473684210526,304.0,10.0,4.676923076923077,0.31527093596059114,0.658703071672355
Trent Bridge,0,0,23.333333333333332,1.3333333333333333,1.9339339339339336,61.333333333333336,2.0,3.3629629629629627,414.0,16.666666666666668,3.3179136566907466,0.5109355947904133,0.7685960422182787
Trent Bridge,0,1,58.0,0.6666666666666666,4.738738738738739,96.0,3.3333333333333335,5.235867446393762,289.3333333333333,16.0,4.254635155566166,0.3646468357873756,0.5567754192393409
Trent Bridge,1,0,129.0,4.0,6.933143669985775,155.0,8.0,5.7407407407407405,138.0,6.0,10.407843137254902,0.4005291005291005,0.3853553719008264
"Trent Bridge, Nottingham",1,0,156.0,3.0,8.210526315789474,300.0,6.0,10.526315789473683,189.0,12.0,11.8125,0.5023255813953489,0.3937007874015748
VRA Cricket Ground,0,1,52.0,2.0,4.333333333333333,72.0,4.0,3.9272727272727272,260.0,6.0,7.090909090909092,0.375,0.472636815920398
Vidarbha C.A. Ground,0,1,74.0,0.0,5.692307692307692,102.0,2.0,5.464285714285714,524.0,10.0,7.380281690140845,0.48,0.42857142857142855
Vidarbha Cricket Association Ground,0,1,92.0,2.0,7.45945945945946,104.0,2.0,5.777777777777778,438.0,12.0,6.140186915887851,0.5173501577287066,0.5147540983606558
"Vidarbha Cricket Association Stadium, Jamtha",0,0,36.8,0.8,3.0105263157894737,58.0,2.0,3.2096969696969695,550.0,15.6,2.9336790203131757,0.41236080287709526,0.7357947993272089
"Vidarbha Cricket Association Stadium, Jamtha",0,1,65.0,1.3333333333333333,5.2060968863600445,100.0,1.6666666666666667,5.39857725120883,432.6666666666667,13.333333333333334,6.126884175319539,0.419644417505671,0.4689294416506122
"Vidarbha Cricket Association Stadium, Jamtha",1,0,89.57142857142857,3.0,6.934464539727697,160.42857142857142,4.285714285714286,8.035607304572823,96.42857142857143,6.857142857142857,8.104608294930875,0.43958404507082793,0.37539984559171724
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",0,0,50.0,4.0,4.166666666666666,16.0,0.0,0.8888888888888888,288.0,16.0,2.9189189189189193,0.632768361581921,0.8160621761658031
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",0,1,104.0,0.0,8.432432432432433,94.0,6.0,5.222222222222222,298.0,14.0,4.538071065989848,0.45161290322580644,0.5243055555555556
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0,190.5,9.0,10.152204836415361,217.5,6.0,13.546610169491526,84.0,3.0,5.090909090909091,0.6052287581699347,0.31978021978021975
W.A.C.A. Ground,0,1,64.0,4.0,5.052631578947368,58.0,4.0,3.1071428571428577,284.0,12.0,3.9627906976744187,0.39408866995073893,0.6699029126213593
Wankhede Stadium,0,0,40.5,2.0,3.35472972972973,48.0,0.5,2.6666666666666665,418.0,17.5,2.9839194301119023,0.4747605605403771,0.7600965135173694
Wankhede Stadium,0,1,62.285714285714285,2.0,4.885193889541716,94.28571428571429,1.1428571428571428,5.07569111239062,380.85714285714283,12.571428571428571,5.4850738789573015,0.4287619606412397,0.5346459875022752
Wankhede Stadium,1,0,51.0,1.4473684210526316,7.215011061242736,78.60526315789474,2.526315789473684,7.6815420578462925,57.10526315789474,2.5921052631578947,9.699163663935547,0.501325787601124,0.4040277670488355
"Wankhede Stadium, Mumbai",0,0,44.0,1.0,3.6238738738738734,60.0,0.0,3.292929292929293,456.0,19.0,3.174023361343588,0.44713584288052377,0.7312474348305764
"Wankhede Stadium, Mumbai",0,1,89.5,2.0,6.769736842105264,111.0,1.5,6.054545454545455,413.5,11.5,6.270120273613005,0.4856564948509224,0.49598735621192835
"Wankhede Stadium, Mumbai",1,0,57.357142857142854,1.9107142857142858,7.73507272824048,86.48214285714286,2.767857142857143,8.018482987271616,64.44642857142857,2.75,10.611032567294279,0.5143387181316229,0.4011604664711337
"Warner Park, Basseterre",0,1,54.0,2.0,4.378378378378378,126.0,2.0,7.0,310.0,14.0,4.285714285714286,0.31020408163265306,0.5194805194805194
"Warner Park, Basseterre, St Kitts",1,0,151.5,4.5,8.416666666666668,174.0,6.0,6.327272727272727,127.5,12.0,8.319354838709677,0.4544008483563097,0.44035361062186695
Western Australia Cricket Association Ground,0,0,40.0,1.0,3.1346153846153846,53.0,1.0,2.918181818181818,398.0,18.0,2.97950872656755,0.5338979860718991,0.7945811212668528
Western Australia Cricket Association Ground,0,1,40.4,1.6,3.314414414414414,82.0,2.4,4.398090321263903,288.0,12.4,4.572029915448349,0.3803569012100348,0.6109713454398347
"Westpac Park, Hamilton",0,1,30.0,2.0,2.3684210526315788,58.0,8.0,2.9,156.0,10.0,2.6,0.4918032786885246,0.7985611510791367
Westpac Stadium,0,1,29.0,2.0,2.3421052631578947,66.0,4.0,3.5892857142857144,460.0,9.0,6.525999284628455,0.44004400440044,0.5439148843773749
Westpac Stadium,1,0,169.5,3.0,9.162162162162161,223.5,9.0,8.083333333333332,159.0,6.0,10.25625,0.49731850081211115,0.3670082644628099
"Westpac Stadium, Wellington",0,1,24.0,6.0,1.945945945945946,78.0,4.0,4.178571428571429,234.0,10.0,4.0813953488372094,0.38095238095238093,0.7094339622641509
"Windsor Park, Roseau, Dominica",0,0,32.0,0.0,2.6666666666666665,44.0,2.0,2.444444444444444,224.0,18.0,2.24,0.4266666666666667,0.8153846153846154
Zahur Ahmed Chowdhury Stadium,0,0,56.0,0.0,4.54054054054054,102.0,2.0,5.368421052631579,328.0,18.0,2.919881305637982,0.49382716049382713,0.7447795823665894
"Zahur Ahmed Chowdhury Stadium, Chattogram",0,0,42.0,0.0,3.5,40.0,2.0,2.1818181818181817,726.0,18.0,3.0504201680672267,0.48514851485148514,0.7440993788819876
"Zahur Ahmed Chowdhury Stadium, Chattogram",0,1,58.0,2.0,4.702702702702703,112.0,0.0,6.1090909090909085,648.0,14.0,9.169811320754718,0.5378973105134475,0.375
"Zayed Cricket Stadium, Abu Dhabi",1,0,64.22222222222223,1.3333333333333333,8.104841683789052,83.33333333333333,4.111111111111111,7.052588338371763,56.44444444444444,3.2222222222222223,8.665387269277211,0.44974584021631675,0.3748134882181309
Zhejiang University of Technology Cricket Field,1,0,126.0,4.5,6.8108108108108105,175.5,9.0,6.263322884012539,145.5,6.0,9.387096774193548,0.4121287128712871,0.48461091753774677
