venue,is_t20,is_odi,venue_avg_first_innings
SuperSport Park,1,0,157.3846153846154
"SuperSport Park, Centurion",0,0,286.0
"SuperSport Park, Centurion",0,1,181.33333333333334
"SuperSport Park, Centurion",1,0,219.0
Sydney Cricket Ground,0,0,279.6666666666667
Sydney Cricket Ground,0,1,309.8181818181818
Sydney Cricket Ground,1,0,184.0
The Rose Bowl,0,0,407.5
The Rose Bowl,0,1,248.0
"The Rose Bowl, Southampton",0,0,217.0
"The Rose Bowl, Southampton",1,0,198.0
"The Village, Malahide",1,0,210.5
"The Village, Malahide, Dublin",1,0,166.5
The Wanderers Stadium,0,0,218.0
The Wanderers Stadium,0,1,289.0
The Wanderers Stadium,1,0,203.0
"The Wanderers Stadium, Johannesburg",0,0,202.0
"The Wanderers Stadium, Johannesburg",0,1,116.0
"The Wanderers Stadium, Johannesburg",1,0,242.0
Titwood,0,1,203.0
Trent Bridge,0,0,249.33333333333334
Trent Bridge,0,1,221.66666666666666
Trent Bridge,1,0,140.66666666666666
"Trent Bridge, Nottingham",1,0,215.0
VRA Cricket Ground,0,1,192.0
Vidarbha C.A. Ground,0,1,350.0
Vidarbha Cricket Association Ground,0,1,317.0
"Vidarbha Cricket Association Stadium, Jamtha",0,0,322.4
"Vidarbha Cricket Association Stadium, Jamtha",0,1,298.8333333333333
"Vidarbha Cricket Association Stadium, Jamtha",1,0,158.14285714285714
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",0,0,177.0
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",0,1,248.0
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0,164.0
W.A.C.A. Ground,0,1,203.0
Wankhede Stadium,0,0,253.25
Wankhede Stadium,0,1,268.7142857142857
Wankhede Stadium,1,0,167.1315789473684
"Wankhede Stadium, Mumbai",0,0,280.0
"Wankhede Stadium, Mumbai",0,1,307.0
"Wankhede Stadium, Mumbai",1,0,178.89285714285714
"Warner Park, Basseterre",0,1,245.0
"Warner Park, Basseterre, St Kitts",1,0,151.0
Western Australia Cricket Association Ground,0,0,245.5
Western Australia Cricket Association Ground,0,1,205.2
"Westpac Park, Hamilton",0,1,122.0
Westpac Stadium,0,1,277.5
Westpac Stadium,1,0,184.0
"Westpac Stadium, Wellington",0,1,168.0
"Windsor Park, Roseau, Dominica",0,0,150.0
Zahur Ahmed Chowdhury Stadium,0,0,243.0
"Zahur Ahmed Chowdhury Stadium, Chattogram",0,0,404.0
"Zahur Ahmed Chowdhury Stadium, Chattogram",0,1,409.0
"Zayed Cricket Stadium, Abu Dhabi",1,0,162.22222222222223
Zhejiang University of Technology Cricket Field,1,0,149.0
